"street","district","buildings"
"Курганная ул.","Московский",
"Курчатова ул.","Октябрьский",
"Кустарная ул.","Центральный",
"Кутузова ул.","Первомайский",
"Кэчевский пер.","Первомайский",
"Лазарева ул.","Заводской",
"Лазо пер.","Заводской",
"Лазо ул.","Заводской",
"Ландера ул.","Октябрьский",
"Левкова ул.","Октябрьский",
"Ленина пл.","Московский",
"Ленина ул.","Центральный","1-5, 2-10"
"Ленина ул.","Ленинский","7-27, 12-32"
"Ленинградская ул.","Октябрьский","1-7"
"Ленинградская ул.","Московский","2-14"
"Лепельская ул.","Центральный",
"Лермонтова ул.","Московский",
"Украинки Леси ул.","Центральный",
"Лесная ул.","Первомайский",
"Летний 1-й пер.","Заводской",
"Летний 2-й пер.","Заводской",
"Летняя ул.","Заводской",
"Лещинского ул.","Фрунзенский",
"Либавороменская ул.","Ленинский",
"Чайкиной Лизы ул.","Заводской",
"Линейный пер.","Октябрьский",
"Липовая ул.","Советский",
"Литературная ул.","Советский",
"Литературный пер.","Советский",
"Лобанка ул.","Фрунзенский",
"Логойский тракт","Советский","1-199"
"Логойский тракт","Первомайский","2-200"
"Лодочная ул.","Ленинский",
"Лодочный пер.","Ленинский",
"Ломоносова пер.","Советский",
"Ломоносова ул.","Советский",
"Лошица 2-я ул.","Октябрьский",
"Лошицкая ул.","Ленинский",
"Лошицкий пер.","Ленинский",
"Лошицкий проезд","Ленинский",
"Луговая ул.","Ленинский",
"Луговой пер.","Ленинский",
"Лукьяновича ул.","Советский",
"Лучины ул.","Ленинский",
"Лынькова Михася ул.","Фрунзенский",
"Любанская ул.","Октябрьский",
"Любимова просп.","Московский",
"Люксембург Роза 2-й пер.","Московский",
"Люксембург Роза ул.","Московский","61-197, 80-202"
"Люксембург Роза ул.","Фрунзенский","199-209"
"Мавра Янки ул.","Фрунзенский",
"Магазинная ул.","Московский",
"Магнитная ул.","Заводской",
"Магулянская ул.","Центральный",
"Мазурова ул.","Фрунзенский",
"Майкова пер.","Октябрьский",
"Макаенка ул.","Первомайский",
"Макаренко ул.","Октябрьский",
"Мал. Стиклево ул.","Заводской",
"Мал. Тростенец пер.","Заводской",
"Мал. Тростенец ул.","Заводской",
"Малая ул.","Московский",
"Малинина ул.","Ленинский",
"Малосеребрянская ул.","Ленинский",
"Малофеевская ул.","Советский",
"Малый 2-й пер.","Московский",
"Малый пер.","Московский",
"Малявки ул.","Ленинский",
"Маневича ул.","Первомайский",
"Марата ул.","Ленинский",
"Марусинская ул.","Центральный",
"Марусинский 1-й пер.","Центральный",
"Марусинский 2-й пер.","Центральный",
"Марьевская ул.","Партизанский",
"Масюковщина пер.","Фрунзенский",
"Масюковщина проезд","Фрунзенский",
"Масюковщина ул.","Фрунзенский",
"Матвеевская ул.","Московский",
"Матвеевский пер.","Московский",
"Матросова ул.","Московский",
"Матусевича ул.","Фрунзенский",
"Мачульского ул.","Фрунзенский",
"Машерова просп.","Центральный","1-31, 56-60"
"Машерова просп.","Советский","2-54"
"Машинистов пер.","Московский",
"Машинистов ул.","Московский",
"Машиностроителей ул.","Заводской",
"Маяковского пер.","Ленинский",
"Маяковского ул.","Ленинский",
"Медвежино пер.","Фрунзенский",
"Медвежино ул.","Фрунзенский",
"Мележа ул.","Советский",
"Мелиоративный пер.","Советский",
"Мельникайте ул.","Центральный",
"Мельничный пер.","Ленинский",
"Менделеева ул.","Партизанский",
"Мержинского ул.","Первомайский",
"Металлистов 1-й пер.","Партизанский",
"Металлистов проезд","Партизанский",
"Металлистов ул.","Партизанский",
"Миколаевская ул.","Партизанский",
"Микулича ул.","Центральный",
"Мирная ул.","Центральный",
"Мирошниченко ул.","Советский",
"Михайлова ул.","Советский",
"Михайловский пер.","Октябрьский",
"Михалово 1-й пер.","Московский",
"Михалово 2-й пер.","Московский",
"Михалово 3-й пер.","Московский",
"Михалово 4-й пер.","Московский",
"Михалово ул.","Московский",
"Мичурина ул.","Заводской",
"Могилевская ул.","Октябрьский",
"Можайского 1-й пер.","Советский",
"Можайского 2-й пер.","Советский",
"Можайского 3-й пер.","Советский",
"Можайского ул.","Советский",
"Мозырьская ул.","Центральный",
"Мозырьский пер.","Центральный",
"Молодечненская ул.","Центральный",
"Молочный пер.","Московский",
"Монтажников 1-й пер.","Фрунзенский",
"Монтажников 2-й пер.","Фрунзенский",
"Монтажников 3-й пер.","Фрунзенский",
"Монтажников 4-й пер.","Фрунзенский",
"Монтажников ул.","Фрунзенский",
"Мопра пер.","Центральный",
"Москвина пер.","Центральный",
"Москвина ул.","Центральный",
"Московская ул.","Октябрьский","1-33"
"Московская ул.","Московский","2-22"
"Музыкальный пер.","Центральный",
"Мулявина бул.","Советский",
"Мядельская ул.","Центральный",
"Мясникова ул.","Московский",
"Набережная ул.","Центральный",
"Нагорная ул.","Партизанский",
"Нагорный пер.","Партизанский",
"Надеждинская ул.","Ленинский",
"Наклонная ул.","Партизанский",
"Наклонный 1-й пер.","Партизанский",
"Наклонный 2-й пер.","Партизанский",
"Народная ул.","Заводской",
"Нарочанская ул.","Центральный",
"Натуралистов ул.","Первомайский",
"Нахимова пер.","Ленинский",
"Нахимова ул.","Ленинский",
"Невский пер.","Московский",
"Неждановой пер.","Советский",
"Неждановой ул.","Советский",
"Независимости пл.","Московский",
"Независимости просп.","Первомайский","81-159"
"Независимости просп.","Центральный","15-39"
"Независимости просп.","Советский","41-79, 44-62-к"
"Независимости просп.","Ленинский","10-30"
"Независимости просп.","Партизанский","32-42"
"Независимости просп.","Московский","1-13, 2-8"
"Некрасова пер.","Советский",
"Некрасова ул.","Советский",
"Немига ул.","Центральный","7-12"
"Немига ул.","Московский","20-30"
"Несвижская ул.","Заводской",
"Нестерова 1-й, 2-й пер.","Заводской",
"Нестерова ул.","Заводской",
"Нефтяная ул.","Октябрьский",
"Нефтяный пер.","Октябрьский",
"Никитина 1-й, 2-й пер.","Советский",
"Никитина ул.","Советский",
"Никифорова ул.","Первомайский",
"Дрозда Николая ул.","Центральный",
"Новаторская пер.","Центральный",
"Новаторская проезд","Центральный",
"Новаторская ул.","Центральный",
"Новая ул.","Фрунзенский",
"Новгородская ул.","Первомайский",
"Новгородский пер.","Первомайский",
"Новинковская ул.","Центральный",
"Нововиленская ул.","Центральный",
"Нововиленский пер.","Центральный",
"Новосельская ул.","Ленинский",
"Новоуфимская ул.","Октябрьский",
"Ногина ул.","Московский",
"Обойная ул.","Центральный",
"Обойный пер.","Центральный",
"Обувный пер.","Московский",
"Обуховская ул.","Московский",
"Обуховский 1-й пер.","Московский",
"Обуховский 2-й пер.","Московский",
"Обуховский 3-й пер.","Московский",
